Time    	Lin Cylinder_BoomLift_L x
31.6236	84.44427203
31.6368	83.72666502
31.6512	83.08843042
31.6656	82.44658499
31.68	81.82896872
31.6956	81.30634072
31.71	80.83473724
31.7256	80.44606387
31.74	79.97453223
31.7532	79.53996164
31.7676	79.06322267
31.782	78.58253659
31.7964	78.09658354
31.8108	77.58315156
31.824	77.04434236
31.8396	75.88056141
31.854	75.37861702
31.8696	74.83856521
31.884	74.34542065
31.8972	73.86324008
31.9116	73.34184228
31.9248	72.80366871
31.9392	72.23741513
31.9536	71.70128322
31.968	71.12790339
31.9836	70.57400842
31.9968	70.03437921
32.0124	69.50746836
32.0268	69.02507399
32.0412	68.56075039
32.0556	68.10828412
32.0688	67.59564927
32.0832	67.09418976
32.0976	66.60916854
32.1108	66.15669878
32.1252	65.67994856
32.1384	65.21651469
32.1528	64.80123551
32.1672	64.39329983
32.1816	64.01867862
32.1948	63.60524268
32.208	63.2302126
32.2236	62.8224257
32.238	62.41939458
32.2524	61.98448149
32.2668	61.57951197
32.28	61.17466751
32.2956	60.72028674
32.31	60.2535691
32.3256	59.77115795
32.34	59.31739183
32.3544	58.74409569
32.3688	58.28001109
32.382	57.79553319
32.3976	57.3676577
32.4096	56.94763996
32.424	56.56134596
32.4384	56.08570118
32.4516	55.59087819
32.466	55.07576585
32.4804	54.55686863
32.4948	54.07899847
32.508	53.6170965
32.5224	53.15865859
32.5368	52.65327786
32.55	52.09187914
32.5656	51.59975404
32.58	51.11673013
32.5932	50.60167131
32.6088	50.13453446
32.622	49.57179411
32.6364	49.09051841
32.6496	48.57287464
32.664	48.14564593
32.6784	47.67350042
32.6916	47.16755695
32.706	46.75209335
32.7204	46.21939834
32.7348	45.77642472
32.7492	45.30042326
32.7624	44.88227473
32.778	44.40948393
32.7924	43.97320536
32.808	43.46945479
32.8236	42.97921409
32.838	42.51015196
32.8536	41.97678196
32.868	41.54443437
32.8812	41.04583569
32.898	40.62534227
32.9112	40.20104647
32.9256	39.78826107
32.94	39.42295115
32.9532	39.03070657
32.9676	38.68097427
32.9808	38.23695054
32.9952	37.88907606
33.0072	37.37685543
33.0216	36.86509031
33.036	36.35855059
33.0492	35.86842869
33.0636	35.39365045
33.0768	34.98106559
33.0912	34.52306948
33.1044	33.63232745
33.12	33.22800118
33.1344	32.73067584
33.1476	32.2137905
33.1632	31.36162301
33.1776	30.92388416
33.192	30.55045578
33.2064	30.13791417
33.2208	29.74593137
33.2352	29.3786198
33.2484	29.02243992
33.264	28.6117845
33.2796	27.76842595
33.2928	27.33248272
33.3072	26.91348103
33.3216	26.44238987
33.336	25.95074034
33.3516	25.3987215
33.366	24.84685257
33.3816	24.34241504
33.396	23.84765126
33.4092	23.36087595
33.4236	22.84302857
33.438	22.37357261
33.4536	21.90299514
33.468	21.42940732
33.4812	20.91242578
33.4956	20.49447344
33.5088	20.04093061
33.5244	19.63009202
33.5376	19.12251244
33.552	18.64774377
33.5676	18.13092974
33.5808	17.59184222
33.5964	17.12315672
33.6096	16.65003705
33.624	16.23828046
33.6384	15.86925262
33.6516	15.47035195
33.666	15.10470065
33.6792	14.68059431
33.6948	14.42279021
33.7212	14.32324846
33.7368	14.31672679
33.7656	14.3141083
33.7788	14.31085878
33.7932	14.30396182
33.8076	14.29789915
33.8208	14.29168775
33.8352	14.28836705
33.8484	14.28559194
33.8628	14.28423343
33.876	14.28648972
33.8892	14.2898577
33.9036	14.29395876
33.918	14.29615556
33.9324	14.29978049
33.948	14.30324194
33.9612	14.30630189
33.9756	14.30901417
33.9876	14.31197278
34.0008	14.31736247
34.0128	14.32011924
34.0284	14.32297377
34.0404	14.32526611
34.0668	14.3288952
34.08	14.33048277
34.0944	14.32885241
34.1052	14.32803158
34.1196	14.32871487
34.1316	14.32809742
34.146	14.32853832
34.158	14.32947244
34.1724	14.32903644
34.1868	14.32807383
34.2	14.32637529
34.2132	14.32482845
34.2252	14.32310183
34.2396	14.2431058
34.2516	14.24002664
34.2648	14.23721587
34.278	14.23438709
34.2924	14.23159913
34.3056	14.22763642
34.32	14.22176395
34.3464	14.21577691
34.362	14.20886465
34.374	14.20173567
34.3884	14.19639014
34.3992	14.19359097
34.4124	14.19530366
34.4232	14.1975144
34.4376	14.21169291
34.4652	14.23463698
34.4796	14.27474056
34.494	14.35955208
34.5072	14.48801105
34.5204	14.65399929
34.5336	14.8138529
34.5456	14.91489191
34.56	15.16556319
34.572	15.36605502
34.584	16.22755225
34.5972	16.3228095
34.6092	16.42750869
34.6236	16.54863819
34.638	16.7511199
34.6524	16.96511831
34.6656	17.2700487
34.6944	17.58187463
34.7052	17.90341035
34.7208	18.19703017
34.734	18.5827037
34.7472	18.92427593
34.7604	19.30546526
34.7748	19.65678045
34.788	19.97704996
34.8	20.30830259
34.8144	20.71708677
34.8264	21.17041404
34.842	21.78511678
34.8528	22.61892256
34.866	23.41744532
34.8804	24.39432931
34.8936	25.37351497
34.9068	26.46884808
34.92	27.81015492
34.9332	29.11937865
34.9452	30.60103369
34.9596	32.08318479
34.9716	33.26971078
34.986	34.56520173
34.9992	35.72922838
35.0136	37.12747019
35.0244	38.49444997
35.0388	41.11497888
35.0508	42.38340163
35.064	43.66945657
35.0784	45.58605404
35.0904	47.53418204
35.1048	49.4745707
35.1168	54.14364242
35.13	56.20749895
35.142	58.10853913
35.1552	59.83188926
35.1696	61.35816216
35.1828	62.75793203
35.1948	64.36015016
35.208	67.04769038
35.2212	68.60708283
35.2356	70.07409821
35.25	71.74710307
35.262	73.41478414
35.2752	75.08434052
35.2884	76.7251764
35.3016	78.47198306
35.3148	79.699161
35.328	81.19700343
35.3424	82.6815957
35.3556	84.31172983
35.3688	85.75493872
35.3808	87.01778473
35.394	88.26918291
35.4084	89.79806013
35.4228	91.17794641
35.4348	92.52930535
35.448	93.72670896
35.4624	95.02586997
35.4756	96.35510263
35.4876	97.46834878
35.5008	98.46034894
35.5152	99.34649159
35.5284	100.0500323
35.5428	100.8610867
35.556	101.4973878
35.568	102.397603
35.5824	103.0346074
